city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Cape Town,2022-09-03,13.2,10.0,16.6,0.5,0.0,19.6,0.0
Cape Town,2020-05-09,17.8,14.0,27.7,0.0,0.0,8.4,0.0
Cape Town,2022-02-16,20.0,17.3,23.0,0.6,0.0,25.7,0.0
Cape Town,2023-09-24,14.5,12.0,17.9,28.0,0.0,32.9,0.0
Cape Town,2022-09-10,13.5,10.2,16.8,0.4,0.0,10.5,0.0
Cape Town,2024-06-15,13.3,8.9,20.0,0.0,0.0,15.9,0.0
Cape Town,2020-02-05,20.2,17.0,24.4,0.0,0.0,19.4,0.0
Cape Town,2022-04-29,14.6,11.7,18.0,0.4,0.0,9.3,0.0
Cape Town,2020-09-29,12.7,5.8,17.7,99.1,0.0,16.4,0.0
Cape Town,2021-06-15,12.5,9.0,16.2,0.0,0.0,10.0,0.0
Cape Town,2021-08-30,11.5,7.9,14.7,9.7,0.0,18.6,0.0
Cape Town,2024-08-03,8.9,2.7,18.0,0.0,0.0,11.1,0.0
Cape Town,2021-11-08,16.5,13.5,19.4,0.3,0.0,14.4,0.0
Cape Town,2022-02-26,23.7,18.1,31.2,0.0,0.0,20.9,0.0
Cape Town,2020-11-05,18.6,15.0,27.9,0.0,0.0,19.8,0.0
Cape Town,2020-10-19,16.1,14.0,19.3,0.0,0.0,15.0,0.0
Cape Town,2025-01-10,21.0,19.0,24.0,0.0,0.0,23.5,0.0
Cape Town,2024-10-22,19.4,11.1,27.8,0.0,0.0,17.6,0.0
Cape Town,2021-09-25,12.8,7.4,17.1,0.0,0.0,11.7,0.0
Cape Town,2021-06-07,19.5,15.6,24.4,0.0,0.0,17.7,0.0
Cape Town,2022-08-24,14.6,12.4,17.7,0.2,0.0,22.1,0.0
Cape Town,2021-02-18,18.6,13.6,23.0,0.3,0.0,11.6,0.0
Cape Town,2020-07-26,13.6,11.0,18.5,1.0,0.0,20.1,0.0
Cape Town,2024-03-22,19.4,14.5,24.4,1.5,0.0,11.7,0.0
Cape Town,2020-01-19,17.9,15.6,20.3,2.0,0.0,36.9,0.0
Cape Town,2023-07-31,11.0,7.9,14.9,0.9,0.0,15.3,0.0
Cape Town,2023-04-15,16.5,12.2,21.8,0.0,0.0,24.2,0.0
Cape Town,2022-05-06,13.4,12.0,14.7,9.1,0.0,12.5,0.0
Cape Town,2020-03-08,19.4,17.0,31.1,0.0,0.0,28.7,0.0
Cape Town,2025-02-10,21.0,17.4,25.1,0.0,0.0,36.2,0.0
Cape Town,2024-08-17,12.4,9.9,15.0,2.9,0.0,28.5,0.0
Cape Town,2021-01-16,19.0,16.0,22.4,1.4,0.0,12.1,0.0
Cape Town,2022-11-05,19.4,16.3,23.8,0.0,0.0,21.8,0.0
Cape Town,2022-11-28,23.8,14.2,33.1,0.0,0.0,10.8,0.0
Cape Town,2024-06-23,12.7,7.2,18.3,0.0,0.0,7.9,0.0
Cape Town,2023-03-30,16.2,11.4,20.9,0.0,0.0,19.0,0.0
